LQNS Service Time,Log Service Time,Relative Error
5990,5760,0.03993055555555555
8122,8191,0.008423879868147967
6568,6457,0.017190645810748025
8464,8281,0.022098780340538582
9179,8920,0.029035874439461883
7181,7753,0.07377789242873727
8475,9001,0.05843795133874014
7391,6918,0.06837236195432206
7195,7707,0.06643311275463865
6164,6180,0.0025889967637540453
7220,8704,0.17049632352941177
6571,6572,0.00015216068167985393
7984,7706,0.03607578510251752
2309,2310,0.0004329004329004329
3560,3560,0.0
5939,5948,0.0015131136516476126
7221,8073,0.1055369751021925
7800,7843,0.005482595945429045
1880,1880,0.0
6449,6457,0.0012389654638376955
7518,7528,0.001328374070138151
2968,2970,0.0006734006734006734
2600,2600,0.0
3758,3760,0.0005319148936170213
